"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","freq","duration","condition","adjective","trial_num","is_correct"
"true","fullscreen","0","6210","0.0-0.0","1440","900","","","","","","","","","","",""
"","image-keyboard-response","1","10618","0.0-1.0","","","4401.899999976158","images/consent.jpg","89","_88116858","consent","","","","","",""
"","jo-html-keyboard-response","2","17874","0.0-2.0","","","2250.7999999523163","<p>Hi! Thank you for volunteering to help out with our study.  You will need headphones for this experiment. Please take a moment to adjust your seating so that you can comfortably watch the monitor and use the keyboard.</p><p>Close the door or do whatever is necessary to minimize disturbance during the experiment.  Please also take a moment to silence your phone so that you are not interrupted by any messages mid-experiment.</p><p>Throughout this experiment, you will see greyed out text as in the last line below.</p><p>And a quick note: This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.","32","_88116858","instruct_prompt","","","","","",""
"","jo-adjust-volume","3","37887","0.0-3.0","","","10299.200000047684","images/FULLBEAT.mp3","82","","","","","","","",""
"","jo-html-keyboard-response","4","40614","0.0-4.0","","","1724.5","<div style='margin: auto 0'><p>In the main experiment, you will hear a sound like this.</div>","32","_88116858","instruct_prompt","","","","","",""
"","jo-play-tone","5","41882","0.0-5.0","","","","","","_88116858","key_trial","440","250","demo","","",""
"","jo-html-keyboard-response","6","46991","0.0-6.0","","","4103.300000071526","<div style='margin: auto 0'><p>In a trial, you will then read a sentence describing a subjective opinion about these sounds.<br>Your task is to say whether you agree with this opinion.</div>","32","_88116858","instruct_prompt","","","","","",""
"","jo-html-keyboard-response","7","50344","0.0-7.0","","","2350.7999999523163","<div style='margin: auto 0'><p>Then an additional question will follow.<br>This additional question will be a <b>memory</b> question, so try to pay attention to the sounds as best as you can.</div>","32","_88116858","instruct_prompt","","","","","",""
"","jo-html-keyboard-response","8","62036","0.0-8.0","","","10688.600000023842","<div style='margin: auto 0'><p>The questions you will see will always be a yes or no question.  To indicate your response, you must press the <b>A KEY</b> for YES, and the <b>L KEY</b> for NO.<p>You will only be given 5 seconds to answer the questions -- so please try to respond as fast as you can.<br>Place your fingers on A (for yes) and L (for no) to prepare.</div>","76","_88116858","instruct_prompt","","","","","",""
"","html-keyboard-response","9","64041","0.0-9.0","","","null","<div><span style=""font-size:2vw"">Every sound is positive.</div>","null","_88116858","fixation","","","","positive","",""
"","jo-play-tone","10","65309","0.0-10.0","","","","","","_88116858","key_trial","932.33","250","wrong","","",""
"","jo-play-tone","11","66569","0.0-11.0","","","","","","_88116858","key_trial","1396.91","250","wrong","","",""
"","jo-play-tone","12","67828","0.0-12.0","","","","","","_88116858","key_trial","2093","250","wrong","","",""
"","html-keyboard-response","13","69555","0.0-13.0","","","1725.6000000238419","<span style='font-size:2vw'>Every sound was positive.<br><br>Do you agree?<br><br>A=YES, L=NO","65","_88116858","resp_trial","","","","positive","0",""
"","html-keyboard-response","14","70059","0.0-14.0","","","null","<div style=""font-size:60px;""></div>","null","_88116858","blank","","","","","",""
"","html-keyboard-response","15","73063","0.0-15.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_88116858","fixation","","","","","",""
"","jo-play-tone","16","74330","0.0-16.0","","","","","","_88116858","key_trial","698.46","250","wrong","","",""
"","html-keyboard-response","17","75969","0.0-17.0","","","1638.1999999284744","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","76","_88116858","resp_trial","698.46","","wrong","","0","true"
"","html-keyboard-response","18","76474","0.0-18.0","","","null","<div style=""font-size:60px;""></div>","null","_88116858","blank","","","","","",""
"","html-keyboard-response","19","78477","0.0-19.0","","","null","<div><span style=""font-size:2vw"">Every sound is enjoyable.</div>","null","_88116858","fixation","","","","enjoyable","",""
"","jo-play-tone","20","79743","0.0-20.0","","","","","","_88116858","key_trial","587.33","250","right","","",""
"","jo-play-tone","21","81001","0.0-21.0","","","","","","_88116858","key_trial","261.63","250","right","","",""
