"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","freq","duration","condition","adjective","trial_num","is_correct"
"","html-keyboard-response","174","365203","0.0-174.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","175","368211","0.0-175.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_10521905","fixation","","","","","",""
"","jo-play-tone","176","369483","0.0-176.0","","","","","","_10521905","key_trial","219.12333333333333","250","avg","","",""
"","html-keyboard-response","177","369537","0.0-177.0","","","52.5","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","65","_10521905","resp_trial","219.12333333333333","","avg","","16","false"
"","html-keyboard-response","178","370059","0.0-178.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","179","372067","0.0-179.0","","","null","<div><span style=""font-size:2vw"">Every sound is creepy.</div>","null","_10521905","fixation","","","","creepy","",""
"","jo-play-tone","180","373331","0.0-180.0","","","","","","_10521905","key_trial","2637.02","250","avg","","",""
"","jo-play-tone","181","374596","0.0-181.0","","","","","","_10521905","key_trial","1760","250","avg","","",""
"","jo-play-tone","182","375859","0.0-182.0","","","","","","_10521905","key_trial","1174.66","250","avg","","",""
"","html-keyboard-response","183","376225","0.0-183.0","","","364.7999999523163","<span style='font-size:2vw'>Every sound was creepy.<br><br>Do you agree?<br><br>A=YES, L=NO","65","_10521905","resp_trial","","","","creepy","17",""
"","html-keyboard-response","184","376731","0.0-184.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","185","379740","0.0-185.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_10521905","fixation","","","","","",""
"","jo-play-tone","186","381003","0.0-186.0","","","","","","_10521905","key_trial","1857.2266666666667","250","avg","","",""
"","html-keyboard-response","187","381225","0.0-187.0","","","218.69999980926514","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","76","_10521905","resp_trial","1857.2266666666667","","avg","","17","true"
"","html-keyboard-response","188","381747","0.0-188.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","189","383757","0.0-189.0","","","null","<div><span style=""font-size:2vw"">Every sound is serene.</div>","null","_10521905","fixation","","","","serene","",""
"","jo-play-tone","190","385018","0.0-190.0","","","","","","_10521905","key_trial","880","250","wrong","","",""
"","jo-play-tone","191","386283","0.0-191.0","","","","","","_10521905","key_trial","1318.51","250","wrong","","",""
"","jo-play-tone","192","387546","0.0-192.0","","","","","","_10521905","key_trial","587.33","250","wrong","","",""
"","html-keyboard-response","193","389757","0.0-193.0","","","2209.5999999046326","<span style='font-size:2vw'>Every sound was serene.<br><br>Do you agree?<br><br>A=YES, L=NO","76","_10521905","resp_trial","","","","serene","18",""
"","html-keyboard-response","194","390260","0.0-194.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","195","393268","0.0-195.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_10521905","fixation","","","","","",""
"","jo-play-tone","196","394538","0.0-196.0","","","","","","_10521905","key_trial","440","250","wrong","","",""
"","html-keyboard-response","197","395973","0.0-197.0","","","1432.5999999046326","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","76","_10521905","resp_trial","440","","wrong","","18","true"
"","html-keyboard-response","198","396493","0.0-198.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","199","398499","0.0-199.0","","","null","<div><span style=""font-size:2vw"">Every sound is creepy.</div>","null","_10521905","fixation","","","","creepy","",""
"","jo-play-tone","200","399771","0.0-200.0","","","","","","_10521905","key_trial","349.23","250","avg","","",""
"","jo-play-tone","201","401034","0.0-201.0","","","","","","_10521905","key_trial","155.56","250","avg","","",""
"","jo-play-tone","202","402300","0.0-202.0","","","","","","_10521905","key_trial","233.08","250","avg","","",""
"","html-keyboard-response","203","404041","0.0-203.0","","","1733.1000001430511","<span style='font-size:2vw'>Every sound was creepy.<br><br>Do you agree?<br><br>A=YES, L=NO","76","_10521905","resp_trial","","","","creepy","19",""
"","html-keyboard-response","204","404548","0.0-204.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","205","407555","0.0-205.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_10521905","fixation","","","","","",""
"","jo-play-tone","206","408819","0.0-206.0","","","","","","_10521905","key_trial","245.95666666666668","250","avg","","",""
"","html-keyboard-response","207","408912","0.0-207.0","","","90","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","65","_10521905","resp_trial","245.95666666666668","","avg","","19","false"
"","html-keyboard-response","208","409438","0.0-208.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","209","411443","0.0-209.0","","","null","<div><span style=""font-size:2vw"">Every sound is positive.</div>","null","_10521905","fixation","","","","positive","",""
